file_name,unique_file,path,species,label,subset,sample_rate,num_frames,length
Roeselianaroeselii_XC751814-dat028-019_edit1.wav,Roeselianaroeselii_XC751814-dat028-019,data/train/Roeselianaroeselii_XC751814-dat028-019_edit1.wav,Roeselianaroeselii,56,train,44100,4586400,104.0
Roeselianaroeselii_XC752367-dat006-010.wav,Roeselianaroeselii_XC752367-dat006-010,data/train/Roeselianaroeselii_XC752367-dat006-010.wav,Roeselianaroeselii,56,train,44100,337571,7.654671201814059
Yoyettacelis_GBIF2465208563_IN36000894_50988.wav,Yoyettacelis_GBIF2465208563_IN36000894_50988,data/train/Yoyettacelis_GBIF2465208563_IN36000894_50988.wav,Yoyettacelis,64,train,44100,220500,5.0
Gomphocerippusrufus_XC752285-dat001-045.wav,Gomphocerippusrufus_XC752285-dat001-045,data/train/Gomphocerippusrufus_XC752285-dat001-045.wav,Gomphocerippusrufus,26,train,44100,693715,15.730498866213152
Atrapsaltacorticina_GBIF2901504947_IN62966536_143690.wav,Atrapsaltacorticina_GBIF2901504947_IN62966536_143690,data/val/Atrapsaltacorticina_GBIF2901504947_IN62966536_143690.wav,Atrapsaltacorticina,3,validation,44100,502740,11.4
Phaneropteranana_XC755717-221013-Phaneroptera-nana-Spontangesang-FH-1918-14°C_edit4.wav,Phaneropteranana_XC755717-221013-Phaneroptera-nana-Spontangesang-FH-1918-14°C,data/train/Phaneropteranana_XC755717-221013-Phaneroptera-nana-Spontangesang-FH-1918-14°C_edit4.wav,Phaneropteranana,41,train,44100,88200,2.0
Eupholidopteraschmidti_XC752430-dat051-014_edit1.wav,Eupholidopteraschmidti_XC752430-dat051-014,data/train/Eupholidopteraschmidti_XC752430-dat051-014_edit1.wav,Eupholidopteraschmidti,23,train,44100,705600,16.0
Chorthippusapricarius_XC752128-dat028-008_edit4.wav,Chorthippusapricarius_XC752128-dat028-008,data/train/Chorthippusapricarius_XC752128-dat028-008_edit4.wav,Chorthippusapricarius,8,train,44100,573300,13.0
Pholidopteraaptera_XC751363-dat145-003_edit3.wav,Pholidopteraaptera_XC751363-dat145-003,data/train/Pholidopteraaptera_XC751363-dat145-003_edit3.wav,Pholidopteraaptera,42,train,44100,220500,5.0
Chorthippusbrunneus_XC751398-dat022-008_edit5.wav,Chorthippusbrunneus_XC751398-dat022-008,data/val/Chorthippusbrunneus_XC751398-dat022-008_edit5.wav,Chorthippusbrunneus,10,validation,44100,220500,5.0
Psaltodaplaga_GBIF3031797565_IN68469430_159997.wav,Psaltodaplaga_GBIF3031797565_IN68469430_159997,data/val/Psaltodaplaga_GBIF3031797565_IN68469430_159997.wav,Psaltodaplaga,53,validation,44100,238140,5.4
Omocestusviridulus_XC752267-dat013-003_edit2.wav,Omocestusviridulus_XC752267-dat013-003,data/val/Omocestusviridulus_XC752267-dat013-003_edit2.wav,Omocestusviridulus,39,validation,44100,1375437,31.18904761904762
Chorthippusmollis_XC752529-dat186-002_edit1.wav,Chorthippusmollis_XC752529-dat186-002,data/train/Chorthippusmollis_XC752529-dat186-002_edit1.wav,Chorthippusmollis,11,train,44100,220500,5.0
Tettigoniaviridissima_200726_0062.M.wav,Tettigoniaviridissima_200726_0062.M,data/train/Tettigoniaviridissima_200726_0062.M.wav,Tettigoniaviridissima,62,train,44100,265592,6.02249433106576
